次序(int),節慶(string),農曆(string),公曆(datetime),意義(string)
191,兒童節,2016/2/27,2016/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
192,清明節,2016/2/28,2016/4/5,民族掃墓節
193,穀雨,2016/3/13,2016/4/19,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
194,勞動節,2016/3/25,2016/5/1,紀念勞工對社會和經濟的所作的貢獻
195,立夏,2016/3/29,2016/5/5,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
196,母親節,2016/4/2,2016/5/8,紀念母親的貢獻
197,小滿,2016/4/14,2016/5/20,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
198,芒種,2016/5/1,2016/6/5,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
199,端午節,2016/5/5,2016/6/9,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
200,夏至,2016/5/17,2016/6/21,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
201,小暑,2016/6/4,2016/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
202,大暑,2016/6/19,2016/7/22,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
203,立秋,2016/7/5,2016/8/7,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽
204,父親節,2016/7/6,2016/8/8,紀念父親的貢獻
205,七夕,2016/7/7,2016/8/9,中華情人節
206,中元節,2016/7/15,2016/8/17,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
207,處暑,2016/7/21,2016/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
208,白露,2016/8/7,2016/9/7,天氣轉涼，地面水汽結露
209,中秋節,2016/8/15,2016/9/15,該日為中秋，民俗上為家人團聚的日子
210,秋分,2016/8/22,2016/9/22,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
211,教師節,2016/8/28,2016/9/28,紀念教師的貢獻
212,寒露,2016/9/8,2016/10/8,天氣轉涼，露水日多
213,國慶,2016/9/10,2016/10/10,紀念1911年武昌起義
214,霜降,2016/9/23,2016/10/23,天氣已冷，開始有霜凍
215,萬聖節,2016/10/1,2016/10/31,西洋鬼節
216,立冬,2016/10/8,2016/11/7,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
217,小雪,2016/10/23,2016/11/22,氣溫下降
218,大雪,2016/11/9,2016/12/7,黃河流域一帶漸有積雪；而北方已是萬里冰封
219,冬至,2016/11/23,2016/12/21,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
220,聖誕節,2016/11/27,2016/12/25,紀念耶穌降生的節日
221,元旦,2016/12/4,2017/1/1,新年第一天
222,小寒,2016/12/8,2017/1/5,開始進入寒冷季節。冷氣積久而寒，大部分地區進入嚴寒時期
223,大寒,2016/12/23,2017/1/20,大寒就是天氣寒冷到了極點的意思。大寒前後是一年中最冷的時候
224,除夕,2016/12/30,2017/1/27,農曆新年前一日
225,春節,2017/1/1,2017/1/28,農曆新年
226,初二,2017/1/2,2017/1/29,回娘家
227,開工,2017/1/5,2017/2/1,春節結束
228,立春,2017/1/7,2017/2/3,開始進入春天，萬物復蘇
229,元宵節,2017/1/15,2017/2/11,每年首次月圓，道教亦稱上元節，舉行祈福儀式。人們會張燈結綵慶祝，國內則有各地燈會
230,情人節,2017/1/18,2017/2/14,西洋的情人節
231,雨水,2017/1/22,2017/2/18,春風遍吹，天氣漸暖，冰雪溶化，空氣濕潤，雨水增多
232,228紀念,2017/2/3,2017/2/28,紀念1947年二二八事件，全國各機關並降半旗，以示哀悼
233,驚蟄,2017/2/8,2017/3/5,天氣轉暖，春雷震響，蟄伏在泥土裏的各種冬眠動物蘇醒過來及開始活動，所以叫驚蟄。大部分地區進入春耕
234,春分,2017/2/23,2017/3/20,這一天南北兩半球晝夜相等。大部分地區越冬作物進入春季生長階段
235,清明節,2017/3/7,2017/4/3,民族掃墓節
236,兒童節,2017/3/8,2017/4/4,政府響應1925年國際兒童宣言，以重視兒童權利、反對虐殺兒童
237,穀雨,2017/3/24,2017/4/20,天氣較暖，雨量增加，是北方春耕作物播種的好季節，因為有雨水滋潤大地
238,勞動節,2017/4/6,2017/5/1,紀念勞工對社會和經濟的所作的貢獻
239,立夏,2017/4/10,2017/5/5,夏天開始，雨水增多，農作物生長漸旺，田間工作日益繁忙
240,母親節,2017/4/19,2017/5/14,紀念母親的貢獻
241,小滿,2017/4/26,2017/5/21,大麥、冬小麥等夏收作物，已經結果、籽粒飽滿，但尚未成熟，所以叫小滿
242,端午節,2017/5/5,2017/5/30,農曆五月初五、驅除瘟疫、中華民國紀念楚國詩人屈原逝世
243,芒種,2017/5/11,2017/6/5,芒種表明小麥等有芒作物成熟，宜開始秋播(閏四月)
244,夏至,2017/5/27,2017/6/21,陽光直射北回歸線，白天最長。從這一天起，進入炎熱季節，萬物生長最旺盛，雜草害蟲也迅速滋長
245,小暑,2017/6/14,2017/7/7,正值初伏前後，天氣很熱但尚未酷熱，忙於夏秋作物的工作
246,大暑,2017/6/29,2017/7/22,正值中伏前後，一年最炎熱時期，喜溫作物迅速生長；雨水甚多
247,立秋,2017/6/16,2017/8/7,秋天開始，氣溫逐漸下降；中部地區早稻收割，晚稻開始移栽(閏六月)
248,父親節,2017/6/17,2017/8/8,紀念父親的貢獻
249,處暑,2017/7/2,2017/8/23,氣候變涼的象徵，表示暑天終止，夏季火熱已經到了盡頭
250,七夕,2017/7/7,2017/8/28,中華情人節
251,中元節,2017/7/15,2017/9/5,道教稱中元節，佛教稱盂蘭盆節，皆會設祭壇「普渡」孤魂野鬼，使祂們的罪孽或痛苦能減輕一點
252,白露,2017/7/17,2017/9/7,天氣轉涼，地面水汽結露
253,秋分,2017/8/4,2017/9/23,陽光直射赤道，晝夜幾乎相等。北方秋收秋種
254,教師節,2017/8/9,2017/9/28,紀念教師的貢獻
255,中秋節,2017/8/15,2017/10/4,該日為中秋，民俗上為家人團聚的日子
256,寒露,2017/8/19,2017/10/8,天氣轉涼，露水日多
257,國慶,2017/8/21,2017/10/10,紀念1911年武昌起義
258,霜降,2017/9/4,2017/10/23,天氣已冷，開始有霜凍
259,萬聖節,2017/9/12,2017/10/31,西洋鬼節
260,立冬,2017/9/19,2017/11/7,冬季開始，一年的田間操作結束，作物收割之後要收藏起來
261,小雪,2017/10/5,2017/11/22,氣溫下降
262,大雪,2017/10/20,2017/12/7,黃河流域一帶漸有積雪；而北方已是萬里冰封
263,冬至,2017/11/5,2017/12/22,北半球每年夜晚最長的一日，人們會一家團聚吃湯圓過節
264,聖誕節,2017/11/8,2017/12/25,紀念耶穌降生的節日
