測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風速(m/s),降水量(mm),日照時數(小時)
臺北,2017/4/29,16:04:00,"1,008.80",25.1,40,3.5,0,1
臺北,2017/4/29,15:04:00,"1,009",25.6,39,3.9,0,0.9
臺北,2017/4/29,14:04:00,"1,009.30",25.5,36,4.6,0,0.8
臺北,2017/4/29,13:04:00,"1,009.90",26.5,34,2.5,0,1
臺北,2017/4/29,12:04:00,"1,010.50",26.9,35,3.2,0,1
臺北,2017/4/29,11:04:00,"1,011.10",25.8,35,2.4,0,1
臺北,2017/4/29,10:04:00,"1,011.70",24.9,36,3.5,0,1
臺北,2017/4/29,09:04:00,"1,011.90",22.8,52,2.9,0,1
臺北,2017/4/29,08:04:00,"1,012.10",19.7,62,1,0,1
臺北,2017/4/29,07:04:00,"1,011.70",16.6,71,0.9,0,1
臺北,2017/4/29,06:04:00,"1,011.40",15.6,73,0.9,0,0.2
臺北,2017/4/29,05:04:00,"1,010.90",15.4,73,0.5,0,-
臺北,2017/4/29,04:04:00,"1,010.50",15.6,72,1.9,0,-
臺北,2017/4/29,03:04:00,"1,010.40",15.8,69,0.6,0,-
臺北,2017/4/29,02:04:00,"1,010.60",16.5,67,0.9,0,-
臺北,2017/4/29,01:04:00,"1,010.80",17.5,57,1.9,0,-
臺北,2017/4/29,00:04:00,"1,010.10",20.3,62,0.8,0,-
臺北,2017/4/28,23:04:00,"1,011.50",18.3,54,2.7,0,-
臺北,2017/4/28,22:04:00,"1,012.20",18.6,54,1.9,0,-
臺北,2017/4/28,21:04:00,"1,011.80",18.9,53,3.2,0,-
臺北,2017/4/28,20:04:00,"1,011.30",19.4,50,2.9,0,-
臺北,2017/4/28,19:04:00,"1,010.70",19.8,48,4.4,0,0
臺北,2017/4/28,18:04:00,"1,010.20",20.5,46,4,0,0.2
臺北,2017/4/28,17:04:00,"1,009.40",21.1,42,3.6,0,1
臺北,2017/4/28,16:04:00,"1,009.20",22.6,41,2.8,0,1
臺北,2017/4/28,15:04:00,"1,009.50",23.4,40,2.5,0,0.8
臺北,2017/4/28,14:04:00,"1,010.30",22.9,40,4.4,0,0.5
臺北,2017/4/28,13:04:00,"1,010.90",23.9,39,4.2,0,0.9
臺北,2017/4/28,12:04:00,"1,011.80",22.4,42,3,0,0.4
臺北,2017/4/28,11:04:00,"1,012.60",21.4,44,4.7,0,0.5
臺北,2017/4/28,10:04:00,"1,012.80",21.7,45,4,0,0.1
臺北,2017/4/28,09:04:00,"1,013.10",20.6,46,4,0,0.2
臺北,2017/4/28,08:04:00,"1,013",19.4,64,1.5,0,0.8
臺北,2017/4/28,07:04:00,"1,012.70",17,79,1.3,0,0.6
臺北,2017/4/28,06:04:00,"1,012.40",16,81,1.1,0,0
臺北,2017/4/28,05:04:00,"1,012.10",15.3,85,0.9,0,-
臺北,2017/4/28,04:04:00,"1,012",15.5,87,0.3,0,-
臺北,2017/4/28,03:04:00,"1,011.80",16.6,81,1.3,0,-
臺北,2017/4/28,02:04:00,"1,012.20",16.2,85,1.1,0,-
臺北,2017/4/28,01:04:00,"1,012.60",16.2,86,1,0,-
臺北,2017/4/28,00:04:00,"1,011",17.7,58,1.8,0,-
臺北,2017/4/27,23:04:00,"1,013.70",15.9,87,1.7,0,-
臺北,2017/4/27,22:04:00,"1,014",15.6,87,1.8,0,-
臺北,2017/4/27,21:04:00,"1,013.80",15.3,91,3.4,1,-
臺北,2017/4/27,20:04:00,"1,013.30",15.8,93,1.7,3,-
臺北,2017/4/27,19:04:00,"1,012.60",16,92,2,2,0
臺北,2017/4/27,18:04:00,"1,011.90",16.3,90,2.4,0,0
臺北,2017/4/27,17:04:00,"1,011.90",16.1,90,2.5,2,0
臺北,2017/4/27,16:04:00,"1,011.40",16,92,2.5,2,0
臺北,2017/4/27,15:04:00,"1,011",16.4,86,4.4,1,0
臺北,2017/4/27,14:04:00,"1,011.20",17.7,82,2.4,1,0
臺北,2017/4/27,13:04:00,"1,011.40",18.3,70,4.2,0,0
臺北,2017/4/27,12:04:00,"1,012",18.9,70,4.2,0,0
臺北,2017/4/27,11:04:00,"1,012.40",18.8,71,5.1,1,0
臺北,2017/4/27,10:04:00,"1,012.60",18.9,70,3.9,1,0
臺北,2017/4/27,09:04:00,"1,012.10",18.9,84,2.5,2,0
臺北,2017/4/27,08:04:00,"1,011",18.7,75,3.7,1,0
臺北,2017/4/27,07:04:00,"1,010.20",18.7,76,3.5,1,0
臺北,2017/4/27,06:04:00,"1,009.30",18.8,76,3.8,1,0
臺北,2017/4/27,05:04:00,"1,009.30",19,75,2.9,1,-
臺北,2017/4/27,04:04:00,"1,008.90",18.8,77,2.8,1,-
臺北,2017/4/27,03:04:00,"1,008.80",18.9,76,3.3,2,-
臺北,2017/4/27,02:04:00,"1,009.70",19.3,73,2.5,0,-
臺北,2017/4/27,01:04:00,"1,010.70",19.8,74,3.4,0,-
臺北,2017/4/27,00:04:00,"1,012.80",16,86,1.5,0,-
臺北,2017/4/26,23:04:00,"1,010.80",20.6,72,3.2,0,-
臺北,2017/4/26,22:04:00,"1,010.90",20.4,73,2.6,1,-
臺北,2017/4/26,21:04:00,"1,010.50",20.7,73,4.1,0,-
臺北,2017/4/26,20:04:00,"1,009.50",21.1,72,3.6,0,-
臺北,2017/4/26,19:04:00,"1,008.30",22.7,68,3.5,0,0
臺北,2017/4/26,18:04:00,"1,007.30",23.2,69,2.3,0,0
臺北,2017/4/26,17:04:00,"1,006.10",23.7,72,1.6,0,0
臺北,2017/4/26,16:04:00,"1,005.10",26.4,68,0.9,0,0
臺北,2017/4/26,15:04:00,"1,005.40",27.2,69,1.1,0,0.2
臺北,2017/4/26,14:04:00,"1,005.90",27.2,68,1.9,0,0
臺北,2017/4/26,13:04:00,"1,006.40",27.6,67,2.6,0,0
臺北,2017/4/26,12:04:00,"1,007.20",27.5,67,0.9,0,0
臺北,2017/4/26,11:04:00,"1,007.80",28.2,65,1.5,0,0
臺北,2017/4/26,10:04:00,"1,008.20",26.6,67,1.1,0,0
臺北,2017/4/26,09:04:00,"1,007.70",25.3,71,0.9,0,0
臺北,2017/4/26,08:04:00,"1,007.70",24,72,0.6,0,0
臺北,2017/4/26,07:04:00,"1,007.30",23.4,74,0.5,0,0
臺北,2017/4/26,06:04:00,"1,006.80",22.6,75,1.3,0,0
臺北,2017/4/26,05:04:00,"1,006.60",22.5,76,0.8,0,-
臺北,2017/4/26,04:04:00,"1,006.70",22.7,77,0.7,0,-
臺北,2017/4/26,03:04:00,"1,007.10",22.9,75,0.6,0,-
臺北,2017/4/26,02:04:00,"1,007.60",23,75,0.8,0,-
臺北,2017/4/26,01:04:00,"1,007.80",23.3,76,0.8,0,-
臺北,2017/4/26,00:04:00,"1,010.70",20.2,74,3.4,0,-
臺北,2017/4/25,23:04:00,"1,009.30",24,74,0.8,0,-
臺北,2017/4/25,22:04:00,"1,009.60",24,73,0.9,0,-
臺北,2017/4/25,21:04:00,"1,009.40",24,74,1,0,-
臺北,2017/4/25,20:04:00,"1,009.10",24,74,0.3,0,-
臺北,2017/4/25,19:04:00,"1,008.60",24.2,73,0.6,0,0
臺北,2017/4/25,18:04:00,"1,008.50",24.7,72,0.2,0,0
臺北,2017/4/25,17:04:00,"1,008.10",25.5,70,0.8,0,0
臺北,2017/4/25,16:04:00,"1,008.10",25.9,69,0.4,0,0
臺北,2017/4/25,15:04:00,"1,008.10",27.4,67,0.5,0,0
臺北,2017/4/25,14:04:00,"1,008.80",27.4,64,0.6,0,0
臺北,2017/4/25,13:04:00,"1,009.30",27.4,62,0.2,0,0
臺北,2017/4/25,12:04:00,"1,010",27.4,62,0.9,0,0
臺北,2017/4/25,11:04:00,"1,010.50",26.7,62,0.6,0,0
臺北,2017/4/25,10:04:00,"1,010.90",25.8,64,1.2,0,0
臺北,2017/4/25,09:04:00,"1,010.70",24.5,67,1.2,0,0
臺北,2017/4/25,08:04:00,"1,010.40",23.2,67,0.1,0,0
臺北,2017/4/25,07:04:00,"1,009.80",21.8,70,0.3,0,0
臺北,2017/4/25,06:04:00,"1,009.60",20.4,74,1.5,0,0
臺北,2017/4/25,05:04:00,"1,009.40",19.9,75,0.9,0,-
臺北,2017/4/25,04:04:00,"1,009.40",20,75,0.6,0,-
臺北,2017/4/25,03:04:00,"1,009.30",20.2,75,0.4,0,-
臺北,2017/4/25,02:04:00,"1,009.50",20.6,73,1.5,0,-
臺北,2017/4/25,01:04:00,"1,010.10",20.9,72,0.7,0,-
臺北,2017/4/25,00:04:00,"1,008.70",23.6,76,0.3,0,-
臺北,2017/4/24,23:04:00,"1,011.20",22,68,1.3,0,-
臺北,2017/4/24,22:04:00,"1,011.50",22.6,66,1.4,0,-
臺北,2017/4/24,21:04:00,"1,011.40",22.6,68,2.8,0,-
臺北,2017/4/24,20:04:00,"1,010.90",23,68,2.5,0,-
臺北,2017/4/24,19:04:00,"1,010.40",23.2,69,2,0,0
臺北,2017/4/24,18:04:00,"1,010.30",23.4,69,1.9,0,0
臺北,2017/4/24,17:04:00,"1,010.30",23.9,67,0.8,0,0
臺北,2017/4/24,16:04:00,"1,010.30",23.6,70,1.2,0,0
臺北,2017/4/24,15:04:00,"1,010.50",23.1,73,0.2,0,0
臺北,2017/4/24,14:04:00,"1,011",22,77,0.9,0,0
臺北,2017/4/24,13:04:00,"1,011.90",21.1,77,0.8,0,0
臺北,2017/4/24,12:04:00,"1,012.30",21.2,75,2.1,0,0
臺北,2017/4/24,11:04:00,"1,012.70",20.9,74,2.6,0,0
臺北,2017/4/24,10:04:00,"1,012.80",20.9,74,1.3,0,0
臺北,2017/4/24,09:04:00,"1,012.40",20.7,75,1.2,1,0
臺北,2017/4/24,08:04:00,"1,012.30",19.8,74,1.7,0,0
臺北,2017/4/24,07:04:00,"1,011.60",19.4,75,1.5,0,0
臺北,2017/4/24,06:04:00,"1,011.50",19,74,1.9,1,0
臺北,2017/4/24,05:04:00,"1,011.10",19.4,70,2.3,0,-
臺北,2017/4/24,04:04:00,"1,010.40",20.4,65,2.7,0,-
臺北,2017/4/24,03:04:00,"1,010.10",20.2,65,3.4,0,-
臺北,2017/4/24,02:04:00,"1,010.40",20.2,64,3.3,0,-
臺北,2017/4/24,01:04:00,"1,011.20",20.1,62,2.9,0,-
臺北,2017/4/24,00:04:00,"1,010.70",22,67,1.5,0,-
臺北,2017/4/23,23:04:00,"1,012.60",20,58,3.5,0,-
臺北,2017/4/23,22:04:00,"1,012.80",19.9,56,4.3,0,-
臺北,2017/4/23,21:04:00,"1,012.50",20,54,3.3,0,-
臺北,2017/4/23,20:04:00,"1,012.70",20.4,52,2.7,0,-
臺北,2017/4/23,19:04:00,"1,012.10",20.5,51,4.4,0,0
臺北,2017/4/23,18:04:00,"1,011.60",20.5,52,3.3,0,0
臺北,2017/4/23,17:04:00,"1,011.20",20.9,52,4,0,0
臺北,2017/4/23,16:04:00,"1,011.30",21.1,50,3.8,0,0
臺北,2017/4/23,15:04:00,"1,011.40",21.6,49,3.5,0,0
臺北,2017/4/23,14:04:00,"1,011.30",21.6,46,5.5,0,0
臺北,2017/4/23,13:04:00,"1,011.80",21.9,49,4.2,0,0
臺北,2017/4/23,12:04:00,"1,012.20",21.6,54,3.7,0,0
臺北,2017/4/23,11:04:00,"1,012.70",21.1,54,5.3,0,0
臺北,2017/4/23,10:04:00,"1,012.90",20.8,56,3.3,0,0
臺北,2017/4/23,09:04:00,"1,013.30",20.4,57,2.9,0,0
臺北,2017/4/23,08:04:00,"1,013.20",20.2,58,2.5,0,0
臺北,2017/4/23,07:04:00,"1,012.60",19.4,63,3,0,0
臺北,2017/4/23,06:04:00,"1,011.80",18.6,67,2.2,0,0
臺北,2017/4/23,05:04:00,"1,010.90",18.7,65,2.1,0,-
臺北,2017/4/23,04:04:00,"1,010.70",18,66,2.2,0,-
臺北,2017/4/23,03:04:00,"1,011.20",17.8,67,1.9,0,-
臺北,2017/4/23,02:04:00,"1,011.40",17.3,71,1.5,0,-
臺北,2017/4/23,01:04:00,"1,011.40",17.3,67,2.4,0,-
臺北,2017/4/23,00:04:00,"1,011.60",20,60,4,0,-
臺北,2017/4/22,23:04:00,"1,012.80",16.1,70,2.3,1,-
臺北,2017/4/22,22:04:00,"1,012.70",16.5,69,2.6,1,-
臺北,2017/4/22,21:04:00,"1,012.80",16.8,75,3.8,2,-
臺北,2017/4/22,20:04:00,"1,012.10",17.3,78,2.1,3,-
臺北,2017/4/22,19:04:00,"1,011.30",17,78,1.4,1,0
臺北,2017/4/22,18:04:00,"1,010.90",16.8,76,1.3,2,0
臺北,2017/4/22,17:04:00,"1,010.40",17.5,74,1.4,1,0
臺北,2017/4/22,16:04:00,"1,009.80",18,72,1.6,0,0
臺北,2017/4/22,15:04:00,"1,009.80",18.3,70,2.4,0,0
臺北,2017/4/22,14:04:00,"1,009.80",18.1,73,2.4,0,0
臺北,2017/4/22,13:04:00,"1,010.70",17.7,73,3.3,0,0
臺北,2017/4/22,12:04:00,"1,011.20",17.7,75,2.5,1,0
臺北,2017/4/22,11:04:00,"1,011.60",17.6,76,1.8,1,0
臺北,2017/4/22,10:04:00,"1,011.40",17.6,75,1.2,1,0
臺北,2017/4/22,09:04:00,"1,011.50",18,73,0.5,0,0
臺北,2017/4/22,08:04:00,"1,010.90",17.9,73,1.4,0,0
臺北,2017/4/22,07:04:00,"1,010.30",18.1,71,1.4,0,0
臺北,2017/4/22,06:04:00,"1,009.80",18.8,64,2.9,0,0
臺北,2017/4/22,05:04:00,"1,009.10",17.9,73,0.2,0,-
臺北,2017/4/22,04:04:00,"1,008.90",18.1,69,1.1,1,-
臺北,2017/4/22,03:04:00,"1,008.30",18.2,74,1.1,0,-
臺北,2017/4/22,02:04:00,"1,007.90",18.6,73,1.9,0,-
臺北,2017/4/22,01:04:00,"1,008.30",18.4,73,3.6,1,-
臺北,2017/4/22,00:04:00,"1,011.90",16.8,68,2.6,0,-
臺北,2017/4/21,23:04:00,"1,009.40",18.7,76,2.3,2,-
臺北,2017/4/21,22:04:00,"1,009.50",19.3,75,2.5,3,-
臺北,2017/4/21,21:04:00,"1,008.20",19.4,75,4.8,6,-
臺北,2017/4/21,20:04:00,"1,005.90",20.4,77,3.9,11,-
臺北,2017/4/21,19:04:00,"1,005.10",22.8,80,2.4,5,0
臺北,2017/4/21,18:04:00,"1,004.20",24.5,74,2,1,0
臺北,2017/4/21,17:04:00,"1,002.60",25.4,72,2.2,0,0
臺北,2017/4/21,16:04:00,"1,002.40",27.3,68,1.5,0,0
臺北,2017/4/21,15:04:00,"1,002.70",27.6,69,1.8,0,0
臺北,2017/4/21,14:04:00,"1,002.70",28.7,67,2,0,0.2
臺北,2017/4/21,13:04:00,"1,003.60",30.7,60,3.3,0,0.4
臺北,2017/4/21,12:04:00,"1,004.90",29.4,60,2.3,0,0
臺北,2017/4/21,11:04:00,"1,005.60",28.8,64,1.5,0,0
臺北,2017/4/21,10:04:00,"1,006",28.7,62,1,0,0.3
臺北,2017/4/21,09:04:00,"1,006.40",27.7,67,1.8,0,0.4
臺北,2017/4/21,08:04:00,"1,006.10",26.6,70,0.3,0,0.5
臺北,2017/4/21,07:04:00,"1,005.50",25,72,0.8,0,0.2
臺北,2017/4/21,06:04:00,"1,005.10",24,75,1.1,0,0
臺北,2017/4/21,05:04:00,"1,004.90",24.2,74,1,0,-
臺北,2017/4/21,04:04:00,"1,004.80",24.3,74,1.5,0,-
臺北,2017/4/21,03:04:00,"1,005.10",24.6,74,1.1,0,-
臺北,2017/4/21,02:04:00,"1,005.60",25.1,73,0.9,0,-
臺北,2017/4/21,01:04:00,"1,005.70",25.4,73,0.5,0,-
臺北,2017/4/21,00:04:00,"1,008.70",18.6,75,3.3,1,-
臺北,2017/4/20,23:04:00,"1,006.60",25.5,72,1.4,0,-
臺北,2017/4/20,22:04:00,"1,006.50",25.9,71,1.5,0,-
臺北,2017/4/20,21:04:00,"1,005.60",26.4,68,0.3,0,-
臺北,2017/4/20,20:04:00,"1,005.50",26.3,66,0.5,0,-
臺北,2017/4/20,19:04:00,"1,005",26.7,65,1.3,0,0
臺北,2017/4/20,18:04:00,"1,004.40",27.7,62,1,0,0
臺北,2017/4/20,17:04:00,"1,003.80",28.3,63,1.5,0,0.2
臺北,2017/4/20,16:04:00,"1,003.70",28.4,63,2.9,0,0
臺北,2017/4/20,15:04:00,"1,004",27.7,70,1.9,0,0.4
臺北,2017/4/20,14:04:00,"1,004.50",28.3,71,0.8,0,0.2
臺北,2017/4/20,13:04:00,"1,005.10",25.8,75,0.9,1,0
臺北,2017/4/20,12:04:00,"1,006.40",25,72,3,0,0
臺北,2017/4/20,11:04:00,"1,007.30",26.9,67,0.5,0,0
臺北,2017/4/20,10:04:00,"1,007.90",27.2,66,2.3,0,0
臺北,2017/4/20,09:04:00,"1,008",26.6,63,3.6,0,0.1
臺北,2017/4/20,08:04:00,"1,006.40",26,70,0.6,0,0.4
臺北,2017/4/20,07:04:00,"1,006.50",23.9,73,2.1,0,0.3
臺北,2017/4/20,06:04:00,"1,006.30",23.4,74,1.7,0,0
臺北,2017/4/20,05:04:00,"1,006.50",23.2,74,1.3,0,-
臺北,2017/4/20,04:04:00,"1,006.30",23.3,74,0.7,0,-
臺北,2017/4/20,03:04:00,"1,006.40",23.9,75,0.6,0,-
臺北,2017/4/20,02:04:00,"1,007.10",24.4,75,0.7,0,-
臺北,2017/4/20,01:04:00,"1,007.70",24.5,76,0.1,0,-
臺北,2017/4/20,00:04:00,"1,006",25.4,73,0.5,0,-
臺北,2017/4/19,23:04:00,"1,009.10",24.5,76,0.3,0,-
臺北,2017/4/19,22:04:00,"1,009.50",24.6,76,0.6,0,-
臺北,2017/4/19,21:04:00,"1,009.50",24.4,75,0.3,0,-
臺北,2017/4/19,20:04:00,"1,008.50",24.6,73,1.5,0,-
臺北,2017/4/19,19:04:00,"1,007.40",24.5,74,0.4,0,0
臺北,2017/4/19,18:04:00,"1,006.80",24.7,74,0.7,0,0
臺北,2017/4/19,17:04:00,"1,005.80",24.7,76,0.9,0,0
臺北,2017/4/19,16:04:00,"1,005.10",24.3,73,2,0,0
臺北,2017/4/19,15:04:00,"1,004.90",24.9,74,3.2,1,0
臺北,2017/4/19,14:04:00,"1,005",25,76,4.6,1,0.2
臺北,2017/4/19,13:04:00,"1,005.80",24.5,78,4.9,11,0
臺北,2017/4/19,12:04:00,"1,006.20",27.9,70,3.5,0,0
臺北,2017/4/19,11:04:00,"1,006.80",29,69,1.4,0,0.1
臺北,2017/4/19,10:04:00,"1,007.40",28.6,71,1.2,0,0
臺北,2017/4/19,09:04:00,"1,007.40",27.4,75,2,0,0
臺北,2017/4/19,08:04:00,"1,007.10",26.3,75,0.8,0,0
臺北,2017/4/19,07:04:00,"1,006.70",25.9,76,0.4,0,0
臺北,2017/4/19,06:04:00,"1,006.20",25.1,76,0.8,0,0
臺北,2017/4/19,05:04:00,"1,005.80",25.1,77,0.5,0,-
臺北,2017/4/19,04:04:00,"1,005.20",25.1,77,0.2,0,-
臺北,2017/4/19,03:04:00,"1,005",25.5,75,0.8,0,-
臺北,2017/4/19,02:04:00,"1,005",25.6,76,1,0,-
臺北,2017/4/19,01:04:00,"1,005.70",25.9,75,0.7,0,-
臺北,2017/4/19,00:04:00,"1,008.30",24.3,77,0.7,0,-
臺北,2017/4/18,23:04:00,"1,006",25.8,76,0.8,0,-
臺北,2017/4/18,22:04:00,"1,006.10",25.9,75,0.8,0,-
臺北,2017/4/18,21:04:00,"1,005.80",26,75,0.5,0,-
臺北,2017/4/18,20:04:00,"1,005",26,75,1.3,0,-
臺北,2017/4/18,19:04:00,"1,004.30",26.3,74,0.8,0,0
臺北,2017/4/18,18:04:00,"1,003.90",26.5,74,1.3,0,0
臺北,2017/4/18,17:04:00,"1,003.20",26.7,74,1,0,0
臺北,2017/4/18,16:04:00,"1,002.90",27.2,72,0.3,0,0
臺北,2017/4/18,15:04:00,"1,003.10",27.1,73,0.6,0,0
臺北,2017/4/18,14:04:00,"1,003.60",26.1,74,0.9,0,0
臺北,2017/4/18,13:04:00,"1,003.80",26.9,71,1.5,0,0
臺北,2017/4/18,12:04:00,"1,004",28,68,3.4,0,0
臺北,2017/4/18,11:04:00,"1,004.20",28,69,2.4,0,0
臺北,2017/4/18,10:04:00,"1,004.30",27,71,0.7,0,0
臺北,2017/4/18,09:04:00,"1,004.40",26.8,68,1,0,0
臺北,2017/4/18,08:04:00,"1,003.90",25.7,70,1.7,0,0
臺北,2017/4/18,07:04:00,"1,003.20",25.7,72,2.1,0,0
臺北,2017/4/18,06:04:00,"1,002.30",26.1,72,1.6,0,0
臺北,2017/4/18,05:04:00,"1,002.20",26.3,72,1.6,0,-
臺北,2017/4/18,04:04:00,"1,002.10",26.2,72,1.9,0,-
臺北,2017/4/18,03:04:00,"1,002.10",26,72,2,0,-
臺北,2017/4/18,02:04:00,"1,002.70",25.6,73,0.3,0,-
臺北,2017/4/18,01:04:00,"1,003.60",25.8,76,0.3,0,-
臺北,2017/4/18,00:04:00,"1,006",25.9,76,0,0,-
臺北,2017/4/17,23:04:00,"1,004.90",26.5,74,0.9,0,-
臺北,2017/4/17,22:04:00,"1,004.50",26.6,72,0.8,0,-
臺北,2017/4/17,21:04:00,"1,004.20",27.7,67,0.4,0,-
臺北,2017/4/17,20:04:00,"1,004",27.6,68,0.3,0,-
臺北,2017/4/17,19:04:00,"1,003.10",28,66,1.4,0,0
臺北,2017/4/17,18:04:00,"1,003.10",28.8,64,2.2,0,0
臺北,2017/4/17,17:04:00,"1,002.70",29.8,63,3.2,0,0.4
臺北,2017/4/17,16:04:00,"1,002.30",31.1,61,2.5,0,0.5
臺北,2017/4/17,15:04:00,"1,002.40",31.7,58,2.4,0,0
臺北,2017/4/17,14:04:00,"1,002.90",31.7,56,3.1,0,0.1
臺北,2017/4/17,13:04:00,"1,003.90",31.3,56,3,0,0.1
臺北,2017/4/17,12:04:00,"1,005.20",30.7,59,0.7,0,0.1
臺北,2017/4/17,11:04:00,"1,006.20",30.6,62,2.4,0,0.4
臺北,2017/4/17,10:04:00,"1,007",28.6,64,2.3,0,0.3
臺北,2017/4/17,09:04:00,"1,007.60",26.9,71,0.8,0,0.3
臺北,2017/4/17,08:04:00,"1,008.20",24.8,74,0.3,0,0
臺北,2017/4/17,07:04:00,"1,007.90",23.7,74,1.1,0,0
臺北,2017/4/17,06:04:00,"1,008.10",23.2,75,0.8,0,0
臺北,2017/4/17,05:04:00,"1,007.70",23.1,75,0.9,0,-
臺北,2017/4/17,04:04:00,"1,007.60",23.2,74,0.8,0,-
臺北,2017/4/17,03:04:00,"1,007.80",23.2,75,0.9,0,-
臺北,2017/4/17,02:04:00,"1,007.70",23.4,76,1.3,0,-
臺北,2017/4/17,01:04:00,"1,008.60",23.6,74,1.4,0,-
臺北,2017/4/17,00:04:00,"1,004.50",26,76,1.1,0,-
臺北,2017/4/16,23:04:00,"1,009.20",23.9,73,1.1,0,-
臺北,2017/4/16,22:04:00,"1,009.30",24,73,2,0,-
臺北,2017/4/16,21:04:00,"1,009.30",24.2,72,1.5,0,-
臺北,2017/4/16,20:04:00,"1,009.40",24.4,72,2.4,0,-
臺北,2017/4/16,19:04:00,"1,009.10",25.1,69,1.7,0,0
臺北,2017/4/16,18:04:00,"1,008.90",25.7,69,1.5,0,0
臺北,2017/4/16,17:04:00,"1,009",25.7,72,2.5,0,0
臺北,2017/4/16,16:04:00,"1,009.20",26.1,69,2.4,0,0
臺北,2017/4/16,15:04:00,"1,009.20",28.2,63,1.5,0,0
臺北,2017/4/16,14:04:00,"1,009.30",30.6,59,0.8,0,0.1
臺北,2017/4/16,13:04:00,"1,009.80",30.7,56,0.3,0,0.6
臺北,2017/4/16,12:04:00,"1,010.40",29.8,63,1.2,0,0.4
臺北,2017/4/16,11:04:00,"1,011.20",27.9,69,1.5,0,0
臺北,2017/4/16,10:04:00,"1,011.90",27.1,70,0.3,0,0
臺北,2017/4/16,09:04:00,"1,011.60",25.6,70,0.3,0,0
臺北,2017/4/16,08:04:00,"1,011.30",24.2,72,1.4,0,0
臺北,2017/4/16,07:04:00,"1,011.20",23.5,74,1.3,0,0
臺北,2017/4/16,06:04:00,"1,010.80",22.9,73,1.1,0,0
臺北,2017/4/16,05:04:00,"1,010.20",23,73,0.9,0,-
臺北,2017/4/16,04:04:00,"1,010",23,74,0.6,0,-
臺北,2017/4/16,03:04:00,"1,009.50",23,74,1,0,-
臺北,2017/4/16,02:04:00,"1,009.60",23.2,73,0.3,0,-
臺北,2017/4/16,01:04:00,"1,009.80",23.7,72,1.1,0,-
臺北,2017/4/16,00:04:00,"1,008.90",23.6,74,1.4,0,-
臺北,2017/4/15,23:04:00,"1,010.10",24.2,72,1,0,-
臺北,2017/4/15,22:04:00,"1,010.60",24.6,71,0.7,0,-
臺北,2017/4/15,21:04:00,"1,010.70",24.8,72,0.5,0,-
臺北,2017/4/15,20:04:00,"1,010.10",24.9,72,0.9,0,-
臺北,2017/4/15,19:04:00,"1,009.50",25,72,2,0,0
臺北,2017/4/15,18:04:00,"1,009.20",25.7,71,2.2,0,0
臺北,2017/4/15,17:04:00,"1,009.20",26.5,69,1.7,0,0
臺北,2017/4/15,16:04:00,"1,009.20",27.2,69,0.3,0,0
